"","Adams","Cabot","Kirkland","Mather","Quincy","Leverett","Dunster","Currier","Eliot","Lowell","Pforzheimer","Winthrop"
"1",1,1,1,1,1,1,1,1,1,1,1,1
"2",1,1,1,1,1,1,1,1,1,1,1,1
"3",1,1,1,1,1,1,1,1,1,1,1,1
"4",1,1,1,1,1,1,1,1,1,1,1,1
"5",1,1,1,1,1,1,1,1,1,1,1,1
"6",1,2,1,1,1,1,1,1,1,1,1,1
"7",1,2,1,1,1,1,1,1,1,1,1,1
"8",1,2,1,1,1,1,1,1,1,1,1,1
"9",1,2,1,1,1,1,1,1,1,1,1,1
"10",1,2,1,1,1,1,1,1,1,1,1,1
"11",1,2,1,1,1,1,1,1,1,1,2,1
"12",1,2,1,1,1,2,1,1,1,1,2,1
"13",1,2,1,1,1,2,1,1,1,1,2,1
"14",1,2,1,1,1,2,1,1,1,1,2,1
"15",1,2,1,1,1,2,1,2,1,1,2,1
"16",1,2,1,1,1,2,1,2,1,1,2,1
"17",1,2,1,1,1,2,1,2,1,1,2,1
"18",1,2,1,2,1,2,1,2,1,1,2,1
"19",1,3,1,2,1,2,1,2,1,1,2,1
"20",1,3,2,2,1,2,1,2,1,1,2,1
"21",2,3,2,2,1,2,1,2,1,1,2,1
"22",2,3,2,2,1,2,1,2,1,1,2,1
"23",2,3,2,2,1,2,1,2,1,1,2,1
"24",2,3,2,2,1,2,1,2,1,1,2,1
"25",2,3,2,2,1,2,1,3,1,1,2,1
"26",2,3,2,2,1,2,1,3,1,1,2,1
"27",2,3,2,2,1,2,1,3,1,1,2,1
"28",2,3,2,2,1,2,1,3,1,1,2,1
"29",2,3,2,2,2,2,1,3,1,1,2,1
"30",2,3,2,2,2,2,1,3,1,1,2,1
"31",2,3,2,2,2,2,1,3,1,1,2,1
"32",2,3,2,2,2,2,1,3,1,1,3,1
"33",2,3,2,3,2,2,1,3,1,1,3,1
"34",2,3,2,3,2,3,1,3,1,1,3,1
"35",2,4,2,3,2,3,1,3,1,1,3,1
"36",3,4,2,3,2,3,1,3,1,1,3,1
"37",3,4,2,3,2,3,1,3,1,1,3,1
"38",3,4,2,3,2,3,1,3,2,1,3,1
"39",3,4,3,3,2,3,1,3,2,1,3,1
"40",3,4,3,3,2,3,1,3,2,1,3,1
"41",3,4,3,3,2,3,1,4,2,1,3,1
"42",3,4,3,3,2,3,1,4,2,1,3,1
"43",3,4,3,3,2,3,1,4,2,1,3,1
"44",3,4,3,3,2,3,1,4,2,1,3,1
"45",3,4,3,3,2,3,1,4,2,1,3,1
"46",3,4,3,3,2,3,2,4,2,1,3,1
"47",3,4,3,3,2,3,2,4,2,1,4,1
"48",3,4,3,3,2,3,2,4,2,1,4,1
"49",3,4,3,3,2,3,2,4,2,1,4,1
"50",3,4,3,3,2,3,2,4,2,1,4,1
"51",3,4,3,3,2,3,2,4,2,1,4,1
"52",3,5,3,4,2,3,2,4,2,1,4,1
"53",3,5,3,4,2,3,2,4,2,1,5,1
"54",3,5,3,4,2,3,2,4,2,1,5,1
"55",3,5,3,4,2,3,2,4,2,1,5,1
"56",3,5,3,4,2,3,2,5,2,1,5,1
"57",3,5,3,4,2,3,2,5,2,1,5,1
"58",3,5,3,4,2,3,2,5,2,1,5,1
"59",3,6,3,4,2,3,2,5,2,1,5,1
"60",4,6,3,4,2,3,2,5,2,1,5,1
"61",4,6,3,4,2,3,2,5,2,1,5,1
"62",4,6,3,4,2,3,2,5,2,1,5,1
"63",4,6,3,4,2,3,2,5,2,1,5,1
"64",4,6,3,4,2,3,2,5,2,1,5,1
"65",4,6,3,4,2,3,2,5,2,1,5,1
"66",4,6,3,4,2,3,2,5,2,1,5,1
"67",4,6,3,4,2,3,2,5,2,1,5,1
"68",4,6,3,4,2,3,2,5,2,1,5,1
"69",4,6,3,4,2,3,2,5,2,1,6,1
"70",4,6,3,4,2,3,2,5,2,1,6,1
"71",4,6,3,4,2,3,2,5,2,1,6,1
"72",4,6,3,4,3,3,2,5,2,1,6,1
"73",4,6,3,4,3,3,2,5,2,1,6,1
"74",4,6,4,4,3,4,2,6,2,1,6,1
"75",4,6,4,4,3,4,2,6,2,1,6,1
"76",4,6,4,4,3,4,2,6,2,1,6,1
"77",4,6,4,5,3,4,2,6,2,1,6,1
"78",4,6,4,5,3,4,2,6,2,1,6,1
"79",4,7,4,5,3,4,2,6,2,1,6,1
"80",4,7,4,5,3,4,2,6,2,1,6,1
"81",4,7,4,5,3,4,2,6,2,1,6,1
"82",4,7,4,5,3,4,2,6,2,1,6,1
"83",4,7,4,5,3,4,2,6,2,1,6,1
"84",4,7,4,5,3,4,2,6,2,1,6,1
"85",4,7,4,5,3,4,2,6,2,1,6,1
"86",4,7,4,5,3,4,2,6,2,1,6,1
"87",4,7,4,5,3,4,2,6,2,1,6,1
"88",4,7,4,5,3,4,2,6,2,1,7,1
"89",4,7,4,5,3,4,2,6,2,1,7,1
"90",4,7,4,5,3,4,2,6,2,1,7,1
"91",4,7,4,5,3,4,2,6,2,1,7,1
"92",4,7,4,5,3,4,2,6,2,1,7,1
"93",4,7,4,5,3,4,2,7,2,1,7,1
"94",4,7,4,5,3,4,2,7,2,1,7,1
"95",4,8,4,5,3,4,2,7,3,1,7,1
"96",4,8,4,5,3,4,2,7,3,1,7,1
"97",4,8,4,5,3,4,2,7,3,1,7,1
"98",5,8,4,5,3,4,2,7,3,1,7,1
"99",5,8,4,5,3,4,2,7,3,1,7,1
"100",5,8,4,5,3,4,2,7,3,1,7,1
"101",5,8,4,5,3,4,2,7,3,1,7,1
"102",5,8,4,5,3,4,2,7,3,1,7,1
"103",5,8,4,5,3,4,2,7,3,1,7,1
"104",5,8,4,6,3,4,2,7,3,1,7,1
"105",5,8,4,6,3,4,2,7,3,1,7,1
"106",5,8,4,6,3,4,2,7,3,1,7,1
"107",5,8,4,6,3,4,2,7,3,1,7,1
"108",5,8,4,6,3,4,2,7,3,1,7,1
"109",5,8,4,6,3,4,2,7,3,1,7,1
"110",5,8,4,6,3,4,2,7,3,1,7,1
"111",5,8,4,6,3,4,2,7,3,1,7,1
"112",5,8,4,6,3,4,2,7,3,1,7,1
"113",5,8,4,6,3,4,3,8,3,1,7,1
"114",5,8,4,6,3,4,3,8,3,1,7,1
"115",5,8,4,6,3,4,3,8,3,1,7,1
"116",5,8,4,6,3,4,3,8,3,1,7,1
"117",5,8,4,6,3,4,3,8,3,1,8,1
"118",5,8,4,6,3,4,3,8,3,1,8,1
"119",5,8,4,6,3,4,3,8,3,1,8,1
"120",5,8,4,6,3,4,3,8,3,1,8,1
"121",5,8,4,6,3,4,3,8,3,1,8,1
"122",5,8,4,6,3,4,3,8,3,1,8,1
"123",5,8,4,6,3,4,3,8,3,1,8,1
"124",5,8,5,6,3,4,3,8,3,1,8,1
"125",5,8,5,6,3,4,3,8,3,1,8,1
"126",5,9,5,6,3,4,3,8,3,1,8,1
"127",5,9,5,6,4,4,3,8,3,1,8,1
"128",5,9,5,6,4,4,3,8,3,1,8,1
"129",5,9,5,6,4,4,3,8,3,1,8,1
"130",5,9,5,6,4,4,3,8,3,1,8,1
"131",5,9,5,6,4,4,3,8,3,1,8,1
"132",5,9,5,6,4,4,3,8,3,1,8,1
"133",5,9,5,6,4,4,3,8,3,1,8,1
"134",5,9,5,6,4,4,3,8,3,1,8,1
"135",6,9,5,6,4,4,3,8,3,1,8,1
"136",6,9,5,6,4,4,3,9,3,1,8,1
"137",6,9,5,6,4,4,3,9,3,1,8,1
"138",6,9,5,6,4,4,3,9,3,1,8,1
"139",6,9,5,6,4,4,3,9,3,1,8,1
"140",6,9,5,6,4,4,3,9,3,1,8,1
"141",6,9,5,6,4,4,3,9,3,1,8,1
"142",6,9,5,6,4,4,3,9,3,1,8,1
"143",6,9,5,6,4,4,3,9,3,1,8,1
"144",6,9,5,7,4,4,3,9,3,1,8,1
"145",6,9,5,7,4,4,3,9,3,1,8,1
"146",6,9,5,7,4,4,3,9,3,1,8,1
"147",6,9,5,7,4,5,3,9,3,1,8,1
"148",6,9,5,7,4,5,3,9,3,1,8,1
"149",6,9,5,7,4,5,3,9,3,1,8,1
"150",6,9,5,7,4,5,3,9,3,1,9,1
"151",6,9,5,7,4,5,3,9,3,1,9,1
"152",6,9,5,7,4,5,3,9,3,1,9,1
"153",6,9,5,7,4,5,3,9,3,2,9,1
"154",6,9,5,7,4,5,3,9,3,2,9,1
"155",6,9,5,7,4,5,3,9,4,2,9,1
"156",6,9,5,7,4,5,3,9,4,2,9,1
"157",6,9,5,7,4,5,3,9,4,2,9,1
"158",6,9,5,7,4,5,3,9,4,2,9,1
"159",6,9,5,7,4,5,3,9,4,2,9,1
"160",6,9,5,7,4,5,3,9,4,2,9,1
"161",6,9,5,7,4,5,3,9,4,2,9,1
"162",6,9,5,7,4,5,3,9,4,2,9,1
"163",6,9,5,7,4,5,3,9,4,2,9,1
"164",6,9,5,7,4,5,3,9,4,2,9,1
"165",6,9,5,7,4,5,3,9,4,2,9,1
"166",6,9,5,7,4,5,3,9,4,2,9,1
"167",6,9,5,7,4,5,3,9,4,2,9,1
"168",6,9,5,7,4,5,3,9,4,2,9,1
"169",6,9,5,7,4,5,3,9,4,2,9,1
"170",6,9,5,7,4,5,3,9,4,2,9,1
"171",6,9,5,7,4,5,3,9,4,2,9,1
"172",6,9,5,7,4,5,3,9,4,2,9,1
"173",6,9,5,7,4,5,3,9,4,2,9,1
"174",6,9,5,7,4,5,3,9,4,2,9,1
"175",6,10,5,7,4,5,3,9,4,2,9,1
"176",6,10,5,7,4,5,3,9,4,2,9,1
"177",6,10,5,7,4,5,3,9,4,2,9,2
"178",6,10,5,7,4,5,3,9,4,2,9,2
"179",7,10,5,7,4,5,3,10,4,2,9,2
"180",7,10,5,7,4,5,3,10,4,2,9,2
"181",7,10,5,7,4,5,3,10,4,2,9,2
"182",7,10,5,7,4,5,3,10,4,2,9,2
"183",7,10,5,7,4,5,3,10,4,2,9,2
"184",7,10,5,7,4,5,3,10,4,2,9,2
"185",7,10,5,7,4,5,3,10,4,2,9,2
"186",7,10,5,7,4,5,3,10,4,2,9,2
"187",7,10,5,7,4,5,3,10,4,2,9,2
"188",7,10,5,8,4,5,3,10,4,2,9,2
"189",7,10,5,8,4,5,3,10,4,2,9,2
"190",7,10,5,8,4,5,3,10,4,2,9,2
"191",7,10,5,8,4,5,3,10,4,2,9,2
"192",7,10,5,8,4,5,3,10,4,2,9,2
"193",7,10,5,8,4,5,3,10,4,2,9,2
"194",7,10,5,8,4,5,3,10,4,2,9,2
"195",7,10,6,8,4,5,3,10,4,2,9,2
"196",7,10,6,8,4,5,3,10,4,2,9,2
"197",7,10,6,8,4,5,3,10,4,2,9,2
"198",7,10,6,8,4,5,3,10,4,2,9,2
"199",7,10,6,8,4,5,3,10,4,2,9,2
"200",7,10,6,8,4,5,3,10,4,2,9,2
"201",7,10,6,8,4,5,3,10,4,2,9,2
"202",7,10,6,8,4,5,3,10,4,2,9,2
"203",7,10,6,8,4,5,3,10,4,2,9,2
"204",7,10,6,8,4,5,3,10,4,2,9,2
"205",7,10,6,8,4,5,3,10,4,2,9,2
"206",7,10,6,8,4,5,3,10,4,2,9,2
"207",7,10,6,8,4,5,3,10,4,2,9,2
"208",7,10,6,8,4,5,3,10,4,2,9,2
"209",7,10,6,8,4,5,3,10,4,2,9,2
"210",7,10,6,8,4,5,3,10,4,2,9,2
"211",7,10,6,8,4,5,3,10,4,2,9,2
"212",7,10,6,8,4,5,3,10,4,2,9,2
"213",7,10,6,8,4,5,3,10,4,2,9,2
"214",7,10,6,8,4,5,3,10,4,2,9,2
"215",7,10,6,8,4,5,3,10,4,2,9,2
"216",7,10,6,8,4,5,3,10,4,2,10,2
"217",7,10,6,8,5,5,3,10,4,2,10,2
"218",7,10,6,8,5,5,3,10,4,2,10,2
"219",7,10,6,8,5,5,3,10,4,2,10,2
"220",7,10,6,8,5,5,3,10,4,2,10,2
"221",7,10,6,8,5,5,3,10,4,2,10,2
"222",7,10,6,8,5,5,3,10,5,2,10,2
"223",7,10,6,8,5,6,3,10,5,2,10,2
"224",7,10,6,8,5,6,3,10,5,2,10,2
"225",7,10,6,8,5,6,3,10,5,2,10,2
"226",7,10,6,8,5,6,4,10,5,2,10,2
"227",7,10,6,8,5,6,4,10,5,2,10,2
"228",7,10,6,8,5,6,4,10,5,2,10,2
"229",7,10,6,8,5,6,4,10,5,2,10,2
"230",7,10,6,8,5,6,4,10,5,2,10,2
"231",7,10,6,8,5,6,4,10,5,2,10,2
"232",7,10,6,8,5,6,4,10,5,2,10,2
"233",7,10,6,8,5,6,4,10,5,2,10,2
"234",7,10,6,8,5,6,4,10,5,2,10,2
"235",7,10,6,8,5,6,4,10,5,2,10,2
"236",7,10,6,8,5,6,4,10,5,2,10,2
"237",7,10,6,8,5,6,4,10,5,2,10,2
"238",7,10,6,8,5,6,4,10,5,2,10,2
"239",7,10,6,8,5,6,4,10,5,2,10,2
"240",7,10,6,8,5,6,4,10,5,2,10,2
"241",7,10,6,8,5,6,4,10,5,2,10,2
"242",7,10,6,8,5,6,4,10,5,2,10,2
"243",7,10,6,8,5,6,4,10,5,2,10,2
"244",7,10,6,8,5,6,4,10,5,2,10,2
"245",7,10,6,8,5,6,4,10,5,2,10,2
"246",8,10,6,8,5,6,4,10,5,2,10,2
"247",8,10,6,8,5,6,4,10,5,2,10,2
"248",8,10,6,8,5,6,4,10,5,2,10,2
"249",8,10,6,8,5,6,4,10,5,2,10,2
"250",8,10,6,8,5,6,4,10,5,2,10,2
"251",8,10,6,8,5,6,4,10,5,2,10,2
"252",8,10,6,8,5,6,4,10,5,2,10,2
"253",8,10,6,8,5,6,4,10,5,2,10,2
"254",8,10,6,8,5,6,4,10,5,2,10,2
"255",8,10,6,9,5,6,4,10,5,2,10,2
"256",8,10,6,9,5,6,4,10,5,2,10,2
"257",8,10,6,9,5,6,4,10,5,2,10,2
"258",8,10,7,9,5,6,4,10,5,2,10,2
"259",8,10,7,9,5,6,4,10,5,3,10,2
"260",8,10,7,9,5,6,4,10,5,3,10,2
"261",8,10,7,9,5,6,4,10,5,3,10,2
"262",8,10,7,9,5,6,4,10,5,3,10,2
"263",8,10,7,9,5,6,4,10,5,3,10,2
"264",8,10,7,9,5,6,4,10,5,3,10,2
"265",8,10,7,9,5,6,4,10,5,3,10,2
"266",8,10,7,9,5,6,4,10,5,3,10,2
"267",8,10,7,9,5,6,4,10,5,3,10,2
"268",8,10,7,9,5,6,4,10,5,3,10,2
"269",8,10,7,9,5,6,4,10,5,3,10,2
"270",8,10,7,9,5,6,4,10,5,3,10,2
"271",8,10,7,9,5,6,4,11,5,3,10,2
"272",8,10,7,9,5,6,4,11,5,3,10,2
"273",8,10,7,9,5,6,4,11,5,3,10,2
"274",8,10,7,9,5,6,4,11,5,3,10,2
"275",8,10,7,9,5,6,4,11,5,3,10,2
"276",8,10,7,9,5,6,4,11,5,3,10,2
"277",8,10,7,9,5,6,4,11,5,3,10,2
"278",8,10,7,9,5,6,4,11,5,3,10,2
"279",8,10,7,9,5,6,4,11,6,3,10,2
"280",8,10,7,9,5,6,4,11,6,3,10,2
"281",8,10,7,9,5,6,4,11,6,3,10,2
"282",8,10,7,9,5,6,5,11,6,3,10,2
"283",8,10,7,9,5,6,5,11,6,3,10,2
"284",8,10,7,9,5,6,5,11,6,3,10,2
